date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-06-27,2517534,42155,36751.42857142857,0.11146068681124639,31225.214285714283,0.09470064063903597,125378,510,831.7142857142857,0.0025224446809262086,831.7142857142857,0.0025224446809262086,329725481
2020-06-28,2556919,39385,38618.28571428572,0.11712253962648922,32680.714285714283,0.09911491883065683,125648,270,833.8571428571429,0.002528943593707709,833.8571428571429,0.002528943593707709,329725481
2020-06-29,2596344,39425,39903.71428571428,0.12102102077368501,34065.57142857143,0.10331494953091426,125995,347,832,0.002523311202630409,832,0.002523311202630409,329725481
2020-06-30,2644508,48164,41793.71428571428,0.12675306184696805,35732.71428571428,0.10837110367492127,127295,1300,898.7142857142857,0.002725644020561109,898.7142857142857,0.002725644020561109,329725481
2020-07-01,2694397,49889,43657,0.13240408314090835,37467.57142857143,0.1136326234628237,127937,642,880.8571428571429,0.0026714864140486095,880.8571428571429,0.0026714864140486095,329725481
2020-07-02,2749870,55473,45710.142857142855,0.1386309081072896,39433.857142857145,0.11959602583112813,128660,723,632.1428571428571,0.0019171792705425063,632.1428571428571,0.0019171792705425063,329725481
2020-07-03,2806929,57059,47364.28571428572,0.1436476355137555,41313.42857142857,0.12529643886220784,129250,590,626,0.0018985490539022067,626,0.0018985490539022067,329725481
2020-07-04,2856828,49899,48470.57142857143,0.14700280755241793,42611,0.12923174718183217,129510,260,590.2857142857143,0.0017902338408772064,590.2857142857143,0.0017902338408772064,329725481
2020-07-05,2901466,44638,49221,0.1492787268084992,43919.642857142855,0.1332006332174942,129772,262,589.1428571428571,0.001786767754060406,589.1428571428571,0.001786767754060406,329725481
2020-07-06,2948096,46630,50250.28571428572,0.15240037124787972,45077,0.1367106960107824,130163,391,595.4285714285714,0.0018058312315528064,595.4285714285714,0.0018058312315528064,329725481
2020-07-07,3002043,53947,51076.42857142857,0.15490591875557402,46435.07142857143,0.14082949030127104,131119,956,546.2857142857143,0.001656789498430406,546.2857142857143,0.001656789498430406,329725481
2020-07-08,3061441,59398,52434.857142857145,0.15902579619819296,48045.92857142857,0.14571493966955065,132065,946,589.7142857142857,0.001788500797468806,589.7142857142857,0.001788500797468806,329725481
2020-07-09,3121202,59761,53047.42857142857,0.16088361873199775,49378.78571428572,0.14975726341964368,132906,841,606.5714285714286,0.0018396255780166063,606.5714285714286,0.0018396255780166063,329725481
2020-07-10,3189139,67937,54601.42857142857,0.16559663028114158,50982.857142857145,0.15462213289744853,133734,828,640.5714285714286,0.0019427416608164068,640.5714285714286,0.0019427416608164068,329725481
2020-07-11,3249613,60474,56112.142857142855,0.17017836379209908,52291.357142857145,0.1585905856722585,134401,667,698.7142857142857,0.0021190788276211074,698.7142857142857,0.0021190788276211074,329725481
