date,measure,value
2020-06-13,deaths_avg7_pc,0.0023461075141215
2020-06-14,cases,2099389
2020-06-14,cases_avg7_pc,0.06593623603769083
2020-06-14,deaths,115607
2020-06-14,deaths_avg7_pc,0.0023140462110661
2020-06-15,cases,2119426
2020-06-15,cases_avg7_pc,0.06675639883071613
2020-06-15,deaths,116055
2020-06-15,deaths_avg7_pc,0.0021953327375907
2020-06-16,cases,2144250
2020-06-16,cases_avg7_pc,0.06942571894050426
2020-06-16,deaths,116824
2020-06-16,deaths_avg7_pc,0.0020822516551926
2020-06-17,cases,2169851
2020-06-17,cases_avg7_pc,0.07067914258562955
2020-06-17,deaths,117577
2020-06-17,deaths_avg7_pc,0.0020064310060751
2020-06-18,cases,2197796
2020-06-18,cases_avg7_pc,0.07274536358929445
2020-06-18,deaths,118303
2020-06-18,deaths_avg7_pc,0.0019414418782601
2020-06-19,cases,2228541
2020-06-19,cases_avg7_pc,0.07510100284216216
2020-06-19,deaths,119010
2020-06-19,deaths_avg7_pc,0.0019111136186131
2020-06-20,cases,2260274
2020-06-20,cases_avg7_pc,0.07794059446682557
2020-06-20,deaths,119556
2020-06-20,deaths_avg7_pc,0.0018478575342065
2020-06-21,cases,2286591
2020-06-21,cases_avg7_pc,0.08110729803482448
2020-06-21,deaths,119811
2020-06-21,deaths_avg7_pc,0.0018214286222284
2020-06-22,cases,2317018
2020-06-22,cases_avg7_pc,0.08560887828814351
2020-06-22,deaths,120171
2020-06-22,deaths_avg7_pc,0.0017833016672436
2020-06-23,cases,2351952
2020-06-23,cases_avg7_pc,0.08998914550287451
2020-06-23,deaths,121004
2020-06-23,deaths_avg7_pc,0.001811030361778
2020-06-24,cases,2388798
2020-06-24,cases_avg7_pc,0.09486116378473904
2020-06-24,deaths,121771
2020-06-24,deaths_avg7_pc,0.0018170960137074
2020-06-25,cases,2429899
2020-06-25,cases_avg7_pc,0.10056114355496663
2020-06-25,deaths,124235
2020-06-25,deaths_avg7_pc,0.0025701033746572
2020-06-26,cases,2475379
2020-06-26,cases_avg7_pc,0.10694524221066017
2020-06-26,deaths,124868
2020-06-26,deaths_avg7_pc,0.0025380420716018
2020-06-27,cases,2517534
2020-06-27,cases_avg7_pc,0.1114606868112464
2020-06-27,deaths,125378
2020-06-27,deaths_avg7_pc,0.0025224446809262
2020-06-28,cases,2556919
2020-06-28,cases_avg7_pc,0.11712253962648922
2020-06-28,deaths,125648
2020-06-28,deaths_avg7_pc,0.0025289435937077
2020-06-29,cases,2596344
2020-06-29,cases_avg7_pc,0.121021020773685
2020-06-29,deaths,125995
2020-06-29,deaths_avg7_pc,0.0025233112026304
2020-06-30,cases,2644508
2020-06-30,cases_avg7_pc,0.12675306184696805
2020-06-30,deaths,127295
2020-06-30,deaths_avg7_pc,0.0027256440205611
2020-07-01,cases,2694397
2020-07-01,cases_avg7_pc,0.13240408314090835
2020-07-01,deaths,127937
2020-07-01,deaths_avg7_pc,0.0026714864140486
2020-07-02,cases,2749870
2020-07-02,cases_avg7_pc,0.1386309081072896
2020-07-02,deaths,128660
2020-07-02,deaths_avg7_pc,0.0019171792705425
2020-07-03,cases,2806929
2020-07-03,cases_avg7_pc,0.1436476355137555
2020-07-03,deaths,129250
2020-07-03,deaths_avg7_pc,0.0018985490539022
2020-07-04,cases,2856828
2020-07-04,cases_avg7_pc,0.14700280755241793
2020-07-04,deaths,129510
2020-07-04,deaths_avg7_pc,0.0017902338408772
